ship_tons,target_tons,safety_margin_percent,required_tons_with_margin,external_scale_load,road_delay_percent,configuration_found,number_of_trucks,number_of_loaders,unload_points,predicted_total_tons,target_completion_percent,production_reserve_tons,production_reserve_percent,estimated_loading_days,predicted_bottleneck
5000,3000,5,3150.0,0,0,True,7,1,2,3295.4,109.8,295.4,9.8,1.52,loader
5000,3000,5,3150.0,0,5,True,7,1,2,3273.7,109.1,273.7,9.1,1.53,loader
5000,3000,5,3150.0,0,15,True,7,1,2,3236.8,107.9,236.8,7.9,1.54,loader
5000,3000,5,3150.0,0,30,True,7,1,3,3154.7,105.2,154.7,5.2,1.58,loader
5000,3000,5,3150.0,5,0,True,7,1,2,3257.3,108.6,257.3,8.6,1.54,loader
5000,3000,5,3150.0,5,5,True,7,1,2,3248.8,108.3,248.8,8.3,1.54,loader
5000,3000,5,3150.0,5,15,True,7,1,2,3219.3,107.3,219.3,7.3,1.55,loader
5000,3000,5,3150.0,5,30,True,7,2,2,3199.3,106.6,199.3,6.6,1.56,unload
5000,3000,5,3150.0,50,0,True,7,1,2,3203.8,106.8,203.8,6.8,1.56,scale
5000,3000,5,3150.0,50,5,True,7,1,2,3169.8,105.7,169.8,5.7,1.58,scale
5000,3000,5,3150.0,50,15,True,7,2,2,3170.2,105.7,170.2,5.7,1.58,scale
5000,3000,5,3150.0,50,30,True,8,1,2,3379.6,112.7,379.6,12.7,1.48,scale
10000,4000,5,4200.0,0,0,True,9,2,2,4228.1,105.7,228.1,5.7,2.37,unload
10000,4000,5,4200.0,0,5,True,9,2,3,4231.5,105.8,231.5,5.8,2.36,scale
10000,4000,5,4200.0,0,15,True,10,2,2,4444.0,111.1,444.0,11.1,2.25,unload
10000,4000,5,4200.0,0,30,True,10,2,2,4379.0,109.5,379.0,9.5,2.28,unload
10000,4000,5,4200.0,5,0,True,9,2,3,4211.1,105.3,211.1,5.3,2.37,scale
10000,4000,5,4200.0,5,5,True,10,2,2,4445.2,111.1,445.2,11.1,2.25,unload
10000,4000,5,4200.0,5,15,True,10,2,2,4405.9,110.1,405.9,10.1,2.27,unload
10000,4000,5,4200.0,5,30,True,10,2,2,4366.1,109.2,366.1,9.2,2.29,unload
10000,4000,5,4200.0,50,0,True,10,2,3,4201.1,105.0,201.1,5.0,2.38,scale
10000,4000,5,4200.0,50,5,True,11,2,2,4340.9,108.5,340.9,8.5,2.3,scale
10000,4000,5,4200.0,50,15,True,11,2,2,4332.2,108.3,332.2,8.3,2.31,scale
10000,4000,5,4200.0,50,30,True,11,2,2,4295.0,107.4,295.0,7.4,2.33,scale
