number_of_trucks,number_of_loaders,unload_points,external_scale_load,road_delay_percent,total_trips,total_tons,average_cycle_time,avg_travel_time,avg_road_delay_time,avg_wait_tare,avg_wait_loader,avg_wait_gross,avg_wait_unload,max_wait_tare,max_wait_loader,max_wait_gross,max_wait_unload,loader_utilization,scale_internal_utilization,scale_utilization,unload_utilization,bottleneck
4,1,1,0,0,71,1951.2,58.9,21.4,0.0,3.82,0.75,0.96,3.53,61.1,17.9,59.6,60.0,46.19,31.04,31.04,67.24,unload
5,1,1,0,0,85,2337.7,62.7,21.29,0.0,2.44,2.3,0.38,7.79,51.9,60.0,3.0,65.2,54.94,36.88,36.88,80.86,unload
6,1,1,0,0,91,2500.2,72.3,21.63,0.0,3.04,2.7,0.68,15.65,56.6,60.0,6.2,77.5,59.26,39.79,39.79,86.88,unload
7,1,1,0,0,92,2529.7,86.5,21.58,0.0,3.14,3.09,0.78,29.44,54.4,60.0,8.4,91.5,60.42,40.42,40.42,86.98,unload
8,1,1,0,0,92,2526.7,100.7,21.39,0.0,4.36,2.5,1.7,42.38,61.0,60.0,60.0,102.3,61.65,41.04,41.04,86.53,unload
9,1,1,0,0,92,2531.0,115.7,21.52,0.0,4.38,3.98,1.0,56.31,54.3,60.0,15.9,113.9,62.28,41.04,41.04,86.61,unload
10,1,1,0,0,91,2504.0,130.7,21.27,0.0,3.66,4.9,1.02,71.27,52.0,60.0,17.7,128.9,63.24,41.46,41.46,85.98,unload
11,1,1,0,0,91,2497.6,145.5,21.4,0.0,5.03,4.73,1.93,83.93,60.0,60.0,61.9,142.5,62.35,41.88,41.88,85.98,unload
12,1,1,0,0,91,2503.1,160.1,21.01,0.0,5.4,5.15,2.08,97.95,62.0,66.3,62.3,157.4,63.41,41.88,41.88,86.06,unload
13,1,1,0,0,90,2475.7,176.1,21.58,0.0,5.75,7.28,1.47,111.47,62.5,76.4,26.8,169.4,63.47,42.08,42.08,85.67,unload
14,1,1,0,0,90,2472.4,190.7,21.23,0.0,6.18,8.08,1.64,124.98,61.5,79.6,30.9,185.2,64.24,42.29,42.29,85.72,unload
15,1,1,0,0,90,2473.5,204.4,21.26,0.0,6.65,9.3,1.6,137.07,60.4,83.7,32.3,198.3,64.47,42.71,42.71,85.2,unload
16,1,1,0,0,91,2502.5,215.7,21.75,0.0,6.62,10.31,2.65,146.19,60.7,87.6,59.1,206.3,64.85,43.75,43.75,85.23,unload
17,1,1,0,0,89,2447.1,234.0,20.78,0.0,7.86,14.21,2.73,159.75,60.0,97.1,62.5,228.6,64.98,43.33,43.33,85.15,unload
18,1,1,0,0,89,2445.8,248.7,21.53,0.0,8.55,13.96,3.24,172.89,61.7,101.4,62.6,244.5,65.53,43.54,43.54,84.64,unload
19,1,1,0,0,90,2476.7,258.2,21.7,0.0,9.16,16.62,3.26,179.05,60.6,106.5,60.6,248.7,66.69,44.38,44.38,84.72,unload
20,1,1,0,0,90,2474.6,271.8,21.99,0.0,8.2,22.63,3.62,186.92,57.0,113.6,62.7,274.9,67.65,44.79,44.79,84.72,unload
4,1,1,0,5,71,1950.0,60.0,22.05,0.55,2.11,0.48,0.45,6.54,54.0,16.9,15.0,67.6,45.33,30.42,30.42,66.28,unload
5,1,1,0,5,86,2365.6,62.2,21.73,0.51,2.98,2.48,0.4,6.01,55.5,60.0,3.0,60.0,55.51,37.08,37.08,81.1,unload
6,1,1,0,5,92,2532.2,71.8,21.83,0.59,3.85,2.07,1.44,14.05,61.1,60.0,60.0,74.3,60.38,39.79,39.79,87.46,unload
